title,popularity,company_name
"Love Letters",0.001586,"Millennium Films"
"Love Letters",0.001586,"New World Pictures"
"Arnolds Park",0.006069,"B.Sting Entertainment"
"Arnolds Park",0.006069,"The Picture Factory"
"Anderson's Cross",0.006323,"Illumination Pictures"
"Le bonheur d'Elza",0.007254,"Canal Plus Overseas"
"Le bonheur d'Elza",0.007254,"Aztec Musique"
"Le bonheur d'Elza",0.007254,"France Tu00e9lu00e9vision"
"Four Single Fathers",0.008263,"Indiana Production Company"
"Nothing But a Man",0.008453,"DuArt Film and Video"
